timestamp,weight,height,bmi,fatRate,bodyWaterRate,boneMass,metabolism,muscleRate,visceralFat,impedance
1615845932,81.7,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615845976,81.7,178.0,25.7,23.0,52.8,3.2,1787.0,59.6,9.0,337
1616244171,82.0,178.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0
1616244201,82.0,178.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0
1616244214,82.0,178.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0
1616244391,6.2,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616244458,46.6,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616244623,59.45,174.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0
1616244690,59.45,174.0,19.6,12.3,60.0,2.7,1476.0,49.3,2.0,552
1616244779,82.0,178.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0
1617300521,80.55,178.0,25.4,0.0,0.0,0.0,0.0,0.0,0.0,0
1617300540,80.55,178.0,25.4,23.6,52.3,3.1,1770.0,58.3,9.0,488
1617300558,80.75,178.0,25.4,23.7,52.2,3.1,1773.0,58.4,9.0,488
1617362863,80.75,178.0,25.4,22.0,53.5,3.2,1773.0,59.7,9.0,279
1617362871,80.85,178.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0
1617362890,80.85,178.0,25.5,22.8,52.9,3.1,1775.0,59.2,9.0,370
1617362899,80.95,178.0,25.5,22.9,52.8,3.1,1776.0,59.2,9.0,373
1617362922,80.85,178.0,25.5,22.8,52.9,3.1,1775.0,59.2,9.0,369
1617363038,56.35,150.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1617363074,56.35,150.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1617363149,56.35,150.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1617363265,80.9,178.0,25.5,22.1,53.4,3.2,1775.0,59.7,9.0,283
1617363300,58.3,174.0,19.2,11.0,60.9,2.6,1459.0,49.1,2.0,535
1617363329,58.3,174.0,19.2,11.0,60.9,2.6,1459.0,49.1,2.0,535
1617363483,56.3,150.0,25.0,36.5,45.3,1.8,902.0,33.8,9.0,510
1617373992,74.45,162.0,28.3,35.9,45.7,2.7,1237.0,44.9,9.0,225
1617536292,80.9,178.0,25.5,24.1,52.0,3.1,1775.0,58.2,9.0,520
1618056320,81.4,178.0,25.6,24.2,51.9,3.1,1783.0,58.5,9.0,507
1618658001,80.7,178.0,25.4,24.0,52.0,3.1,1772.0,58.1,9.0,528
1618658020,80.7,178.0,25.4,24.0,52.0,3.1,1772.0,58.1,9.0,528
1619263912,80.4,178.0,25.3,23.8,52.2,3.1,1768.0,58.0,9.0,525
1619263963,80.4,178.0,25.3,23.8,52.2,3.1,1768.0,58.0,9.0,525
1619350709,79.9,178.0,25.2,23.6,52.3,3.1,1760.0,57.8,9.0,535
1619507687,79.9,178.0,25.2,23.49466,52.482662,3.1140654,1760.0,58.013702,9.0,512
1619507697,80.0,178.0,25.2,null,null,null,null,null,null,null
1623495044,80.4,178.0,25.3,23.627653,52.39143,3.1282809,1768.0,58.275085,9.0,495
1623582229,79.45,178.0,25.0,23.516464,52.467705,3.095414,1754.0,57.670753,9.0,544
1623582249,79.45,178.0,25.0,null,null,null,null,null,null,null
1623582258,79.45,178.0,25.0,23.499348,52.479446,3.0961154,1754.0,57.68365,9.0,542
1623582283,79.45,178.0,25.0,23.49079,52.485317,3.096466,1754.0,57.6901,9.0,541
1624789573,79.15,178.0,24.9,23.287724,52.624622,3.0929174,1749.0,57.62485,9.0,537
1624789592,79.15,178.0,24.9,23.287724,52.624622,3.0929174,1749.0,57.62485,9.0,537
